,Ward_number,Category,Gross_sum,Gross_mean
361,28,Name,1778330.0,889165.0
362,28,Poll,195116.0,195116.0
363,28,Road,47276467.0,2363823.35
364,28,School Or College,6609860.0,2203286.6666666665
365,28,Sports,3525531.0,881382.75
366,29,Drainage,85994843.0,3307493.9615384615
367,29,Electricity,21623497.0,4324699.4
368,29,Footpath,1901010.0,1901010.0
369,29,Ground Water,8971658.0,1794331.6
370,29,Gym,5947210.0,2973605.0
371,29,House Of Worship,10008087.0,10008087.0
372,29,Library,2926535.0,2926535.0
373,29,Maintenance,5117637.0,852939.5
374,29,Name,3729582.0,1864791.0
375,29,Park,38784419.0,3525856.272727273
376,29,Road,52449961.0,5244996.1
377,30,Drainage,93081985.0,3580076.346153846
378,30,Drinking Water,8365056.0,2788352.0
379,30,Electricity,22543006.0,4508601.2
380,30,Ground Water,12718409.0,2543681.8
381,30,Gym,2986453.0,2986453.0
382,30,Health Care,139360.0,139360.0
383,30,House Of Worship,5874671.0,5874671.0
384,30,Indira Canteen,1605965.0,802982.5
385,30,Maintenance,5048624.0,504862.4
386,30,Name,4988458.0,1662819.3333333333
387,30,Park,4518658.0,2259329.0
388,30,Poll,104582.0,104582.0
389,30,Road,49873281.0,3836406.230769231
390,30,Sports,9757812.0,4878906.0
391,31,Drainage,265263948.0,3633752.712328767
392,31,Drinking Water,4943262.0,823877.0
393,31,Electricity,1663050.0,1663050.0
394,31,Ground Water,23682612.0,3947102.0
395,31,House Of Worship,3960347.0,1980173.5
396,31,Indira Canteen,2290767.0,2290767.0
397,31,Maintenance,7495178.0,936897.25
398,31,Name,5929173.0,5929173.0
399,31,Park,4993010.0,4993010.0
400,31,Road,50345794.0,3872753.3846153845
401,31,School Or College,15439453.0,3087890.6
402,31,Sports,4996890.0,4996890.0
403,32,Drainage,207682070.0,5192051.75
404,32,Drinking Water,1739657.0,869828.5
405,32,Footpath,1728502.0,1728502.0
406,32,Ground Water,8659857.0,1082482.125
407,32,Gym,9307460.0,4653730.0
408,32,House Of Worship,7489324.0,1872331.0
409,32,Indira Canteen,1887198.0,1887198.0
410,32,Maintenance,10939015.0,5469507.5
411,32,Name,3340495.0,1670247.5
412,32,Park,51772499.0,7396071.285714285
413,32,Road,79752457.0,3323019.0416666665
414,32,School Or College,11485359.0,5742679.5
415,32,Sports,14682010.0,4894003.333333333
416,33,Drainage,418782013.0,4869558.290697674
417,33,Drinking Water,2803543.0,934514.3333333334
418,33,Electricity,31576354.0,3508483.777777778
419,33,Emergency,1498668.0,1498668.0
420,33,Ground Water,77269682.0,4292760.111111111
421,33,House Of Worship,10495219.0,2623804.75
422,33,Maintenance,16926990.0,769408.6363636364
423,33,Name,1044025.0,1044025.0
424,33,Park,11044525.0,11044525.0
425,33,Poll,157321.0,157321.0
426,33,Road,6567353.0,1641838.25
427,33,School Or College,10394184.0,10394184.0
428,34,C,30414040.0,15207020.0
429,34,Drainage,101761337.0,4625515.318181818
430,34,Electricity,9991920.0,4995960.0
431,34,Emergency,917280.0,917280.0
432,34,Ground Water,17535894.0,2505127.714285714
433,34,House Of Worship,6696512.0,6696512.0
434,34,Indira Canteen,1299123.0,1299123.0
435,34,Maintenance,4547931.0,378994.25
436,34,Name,888269.0,888269.0
437,34,Poll,149110.0,149110.0
438,34,Road,4396458.0,1465486.0
439,35,Drainage,11707442.0,900572.4615384615
440,35,Drinking Water,10632865.0,886072.0833333334
441,35,Electricity,10297884.0,2059576.8
442,35,Emergency,5941246.0,424374.71428571426
443,35,Ground Water,335117.0,335117.0
444,35,Gym,8252433.0,1650486.6
445,35,House Of Worship,2922825.0,1461412.5
446,35,Indira Canteen,99615.0,99615.0
447,35,Maintenance,8464995.0,651153.4615384615
448,35,Name,2500943.0,1250471.5
449,35,Park,54454399.0,2866021.0
450,35,Road,7814680.0,1116382.857142857
451,35,School Or College,14148335.0,3537083.75
452,35,Skill,624969.0,624969.0
453,35,Toilet,2001883.0,1000941.5
454,36,C,1288904.0,1288904.0
455,36,Drainage,10477525.0,2095505.0
456,36,Drinking Water,17009256.0,5669752.0
457,36,Electricity,646400.0,646400.0
458,36,Emergency,1492125.0,373031.25
459,36,Ground Water,3063450.0,765862.5
460,36,House Of Worship,9213548.0,1842709.6
461,36,Indira Canteen,1194652.0,398217.3333333333
462,36,Maintenance,9211523.0,837411.1818181818
463,36,Name,605924.0,605924.0
464,36,Park,689578.0,689578.0
465,36,Road,9644646.0,1607441.0
466,36,School Or College,904472.0,904472.0
467,37,Drainage,10743205.0,2685801.25
468,37,Electricity,98515.0,98515.0
469,37,Emergency,1846939.0,1846939.0
470,37,Ews,85209733.0,17041946.6
471,37,House Of Worship,4000000.0,4000000.0
472,37,Indira Canteen,997063.0,997063.0
473,37,Maintenance,3373768.0,374863.1111111111
474,37,Name,1839062.0,1839062.0
475,37,Poll,382850.0,382850.0
476,37,Road,11013779.0,3671259.6666666665
477,37,School Or College,562500.0,562500.0
478,38,C,10592753.0,2648188.25
